"Forbidden571","Forbidden Forest","Location","The Forbidden Forest, also known as Dark Forest borders the edges of the Hogwarts School of Witchcraft and Wizardry grounds.","","UNKNOWN","http://harrypotter.wikia.com/Forbidden Forest","[Forbidden Forest,]","[]"
"Mine13864","Mine Cart","Object","A Mine Cart is used to transport customers between the vaults of Gringotts Wizarding Bank.","","UNKNOWN","http://harrypotter.wikia.com/Mine Cart","[cart,]","[]"
"Charm2424","Charm","Spell","A charm is a spell that adds certain properties to an object or creature.","spell","UNKNOWN","http://harrypotter.wikia.com/Charm","[Enchantments,]","[]"
"Argus45","Argus Filch","Individual","Argus Filch was a Squib and the caretaker of Hogwarts School of Witchcraft and Wizardry since around 1973.","squib","UNKNOWN","http://harrypotter.wikia.com/Argus Filch","[Argus Filch,]","[]"
"Firenze443","Firenze","Individual","Professor Firenze was a centaur, part of the Forbidden Forest Centaur colony, and a Divination teacher at Hogwarts School of Witchcraft and Wizardry from 1996-1998.","centaur","MALE","http://harrypotter.wikia.com/Firenze","[Firenze,]","[]"
"Weasley378","Weasley family","Family","Weasley is the surname of a pure-blood family (though the most recent generation has many non-pureblood members).","surname","UNKNOWN","http://harrypotter.wikia.com/Weasley family","[a family of red-haired children,]","[]"
"Severus33","Severus Snape","Individual","Professor Severus Snape (9 January, 1960 – 2 May, 1998) was a half-pure-blood wizard serving as Potions Master (1981-1996), Defence Against the Dark Arts professor (1996-1997), and Headmaster (1997-1998) of Hogwarts School of Witchcraft and Wizardry, as well as a member of the Order of the Phoenix and a Death Eater.","wizard","MALE","http://harrypotter.wikia.com/Severus Snape","[Professor Severus Snape,Potions Master,Snape,]","[]"
"Dudley438","Dudley Dursley","Individual","Dudley Dursley (b. 23 June, 1980) was the Muggle son of Vernon and Petunia Dursley and cousin of Harry Potter.","son","MALE","http://harrypotter.wikia.com/Dudley Dursley","[Dudley,Dudley Dursley,]","[]"
"Dedalus717","Dedalus Diggle","Individual","Dedalus Diggle (fl.","","MALE","http://harrypotter.wikia.com/Dedalus Diggle","[Dedalus Diggle,]","[]"
"Quirinus31330","Quirinus Quirrell's turban","Object","This purple turban was used by Professor Quirinus Quirrell to hide the face of Lord Voldemort after the Dark Lord possessed him.","","UNKNOWN","http://harrypotter.wikia.com/Quirinus Quirrell's turban","[turban,]","[]"
"Filius55","Filius Flitwick","Individual","Professor Filius Flitwick (b. 17 October1958 or earlier) was a part-goblin, part-wizard who attended Hogwarts School of Witchcraft and Wizardry and was sorted into Ravenclaw House, being an intelligent young man and a model student.","part-goblin","MALE","http://harrypotter.wikia.com/Filius Flitwick","[Flitwick,]","[]"
"Polkiss16374","Mrs Polkiss","Individual","Mrs Polkiss was the mother of Piers Polkiss.","mother","FEMALE","http://harrypotter.wikia.com/Mrs Polkiss","[mother,Piers Polkiss's mother,]","[]"
"Dudley9733","Dudley Dursley's gang","Organisation","Dudley Dursley's gang was a group of bullies led by Dudley Dursley.","group","UNKNOWN","http://harrypotter.wikia.com/Dudley Dursley's gang","[gang,]","[]"
"Unicorn1039","Unicorn","Creature","The Unicorn is a white, equine creature with a single horn on its forehead.","creature","UNKNOWN","http://harrypotter.wikia.com/Unicorn","[unicorn,]","[]"
"Fang623","Fang","Pet individual","Fang (fl.","","MALE","http://harrypotter.wikia.com/Fang","[Fang,]","[]"
"Kings6345","King's Cross Station","Location","King's Cross Station is considered one of the main train stations to serve London, England.","","UNKNOWN","http://harrypotter.wikia.com/King's Cross Station","[King's Cross station,]","[]"
"Great3880","Great Hall","Location","The Great Hall in the Hogwarts Castle is the main gathering area in the school, which is located off the Entrance Hall.","area","UNKNOWN","http://harrypotter.wikia.com/Great Hall","[Great Hall,]","[]"
"Headmaster2993","Headmaster","Official post","A Headmaster or Headmistress is the chief administrator of a School of Magic.","administrator","UNKNOWN","http://harrypotter.wikia.com/Headmaster","[Headmaster,]","[]"
"Ministry379","Ministry of Magic","Organisation","The Ministry of Magic (M.o.M.) is the main governing body of the magical community of Great Britain (i.e. England, Scotland and Wales) and Ireland with the intention of preservation of magical law.","body","UNKNOWN","http://harrypotter.wikia.com/Ministry of Magic","[Ministry of Magic,British Ministry of Magic,]","[]"
"Peeves39","Peeves","Individual","Peeves was a poltergeist at Hogwarts School of Witchcraft and Wizardry, since c. 993.","poltergeist","MALE","http://harrypotter.wikia.com/Peeves","[Peeves,]","[]"
"Stonewall9956","Stonewall High","School","Stonewall High is a state secondary school in the United Kingdom that the Dursley Family had planned for Harry Potter to attend.","school","UNKNOWN","http://harrypotter.wikia.com/Stonewall High","[Stonewall High,]","[]"
"Charles145541","Charles Weasley","Individual","Charles"Charlie" Weasley (b. 12 December, 1972) was the second eldest son of Arthur and Molly Weasley (née Prewett), younger brother of Bill Weasley and the elder brother of Percy, George, Ron, Ginny Weasley, and the late Fred Weasley.","son","MALE","http://harrypotter.wikia.com/Charles Weasley","[Charlie,]","[]"
"Tom343","Tom Marvolo Riddle","Individual","Tom Marvolo Riddle (31 December, 1926 – 2 May, 1998), later (and better) known as Lord Voldemort, was a half-blood wizard considered to have been the most powerful and dangerous dark wizard of all time.","wizard","MALE","http://harrypotter.wikia.com/Tom Marvolo Riddle","[Lord Voldemort,You-Know-Who,Tom Riddle,Voldemort,]","[]"
"West37051","West Country","Location","The West Country is a region of south-western England, typically defined as including the counties of Cornwall, Devon, Dorset, and Somerset, although Wiltshire, Gloucestershire and Herefordshire are often included.","region","UNKNOWN","http://harrypotter.wikia.com/West Country","[West Country,]","[]"
"Owl1022","Owl","Creature","Owls are birds of prey.","bird","UNKNOWN","http://harrypotter.wikia.com/Owl","[Owl,]","[]"
"Hermione15","Hermione Jean Granger","Individual","Minister Hermione Jean Granger (b. 19 September, 1979) was a Muggle-bornwitch born to Mr and Mrs Granger, both dentists.","muggle-bornwitch","FEMALE","http://harrypotter.wikia.com/Hermione Jean Granger","[Hermione Granger,]","[]"
"Mirror5272","The Mirror of Erised","Object","The Mirror of Erised is a mirror, which, according to Albus Dumbledore, shows the "deepest, most desperate desire of our hearts."","mirror","UNKNOWN","http://harrypotter.wikia.com/The Mirror of Erised","[Mirror of Erised,]","[]"
"Surrey9670","Surrey","Location","Surrey is a county in the South East of England, and one of the home counties.","county","UNKNOWN","http://harrypotter.wikia.com/Surrey","[Surrey,]","[]"
"Dursley397","Dursley family","Family","The Dursley family is a Muggle family, and the only known living close relatives of Harry Potter.","family","UNKNOWN","http://harrypotter.wikia.com/Dursley family","[the Dursleys,Dursley family,Dursleys,]","[]"
"Bertie923","Bertie Bott's Every Flavour Beans","Food and Beverage","Bertie Bott's Every Flavour Beans are one of the most popular sweets in the wizarding world.","one","UNKNOWN","http://harrypotter.wikia.com/Bertie Bott's Every Flavour Beans","[Bertie Bott's Every Flavour Beans,]","[]"
"Killing524","Killing Curse","Spell","The Killing Curse (Avada Kedavra) is a tool of the Dark Arts and one of the three Unforgivable Curses.","tool","UNKNOWN","http://harrypotter.wikia.com/Killing Curse","[spell he used,]","[]"
"Wand1061","Wand","Object","A wand is a quasi-sentient magical instrument through which a witch or wizard channels her or his magical powers to centralise the effects for more complex results.","instrument","UNKNOWN","http://harrypotter.wikia.com/Wand","[Wand,]","[]"
"Hogwarts643","Hogwarts Express","Object","The Hogwarts Express is the name of the train that makes a run between London, King's Cross Station Platform 9¾ and Hogsmeade Station.","name","UNKNOWN","http://harrypotter.wikia.com/Hogwarts Express","[Hogwarts Express,Journey,the train to Hogwarts,]","[]"
"Cloak11928","Cloak of Invisibility","Hallow","The Cloak of Invisibility is a magical artefact used to render the wearer invisible, and one of the fabled Deathly Hallows.","artefact","UNKNOWN","http://harrypotter.wikia.com/Cloak of Invisibility","[Invisibility cloak,]","[]"
"Trophy14219","Trophy Room","Location","The Trophy Room is a room that moves between the third and sixth-floors of Hogwarts Castle.","room","UNKNOWN","http://harrypotter.wikia.com/Trophy Room","[Trophy Room,]","[]"
"Rubeus96666","Rubeus Hagrid's letter to Albus Dumbledore","Letter","Rubeus Hagrid sent a note to Albus Dumbledore on 31 July, 1991, letting him know that he had successfully reached Harry Potter at the Hut-on-the-Rock in the Sea.","","UNKNOWN","http://harrypotter.wikia.com/Rubeus Hagrid's letter to Albus Dumbledore","[a letter,]","[]"
"Elixir2499","Elixir of Life","Potion","The Elixir of Life is a potion produced by using the Philosopher's Stone that extends the life of the drinker.","potion","UNKNOWN","http://harrypotter.wikia.com/Elixir of Life","[Elixir of Life,]","[]"
"Hogwarts156240","Hogwarts express ticket","Object","A Hogwarts Express ticket is a ticket provided to all who are attending Hogwarts School of Witchcraft and Wizardry for the first time.","ticket","UNKNOWN","http://harrypotter.wikia.com/Hogwarts express ticket","[Hogwarts Express ticket,train ticket,]","[]"
"Vampire711","Vampire","Creature","A vampire is a magical humanoid that is famed for biting people on the neck and sucking their blood.","humanoid","UNKNOWN","http://harrypotter.wikia.com/Vampire","[vampire,]","[]"
"Gringotts896","Gringotts Wizarding Bank","Location","Gringotts Wizarding Bank is the only bank of the wizarding world, and is owned and operated by goblins.","bank","UNKNOWN","http://harrypotter.wikia.com/Gringotts Wizarding Bank","[Gringotts,]","[]"
"Galleon819","Galleon or Gold-Galleon","Object","A Galleon or Gold-Galleon () is the most valued coin of the wizarding currency.","coin","UNKNOWN","http://harrypotter.wikia.com/Galleon or Gold-Galleon","[Galleon,]","[]"
"Poppy43","Poppy Pomfrey","Individual","Madam Poppy Pomfrey was the matron at Hogwarts School of Witchcraft and Wizardry.","matron","FEMALE","http://harrypotter.wikia.com/Poppy Pomfrey","[Pomfrey,]","[]"
"James77","James Potter","Individual","James Potter (27 March, 1960 – 31 October, 1981), also known as Prongs, was a pure-pure-blood wizard and the only son of Fleamont and Euphemia Potter.","wizard","MALE","http://harrypotter.wikia.com/James Potter","[James Potter I,James,father,his father,]","[]"
"Boa30797","Boa constrictor at the zoo","Pet individual","This boa constrictor was a large brown snake that lived at the Zoo.","snake","MALE","http://harrypotter.wikia.com/Boa constrictor at the zoo","[Boa constrictor at the Zoo,Boa constrictor,boa constrictor,]","[]"
"London610","London","Location","London is the capital of England and the United Kingdom.","capital","UNKNOWN","http://harrypotter.wikia.com/London","[London,]","[]"
"Remembrall3092","Remembrall","Object","A Remembrall is a large marble sized glass ball that contains smoke which turns red when its owner has forgotten something.","ball","UNKNOWN","http://harrypotter.wikia.com/Remembrall","[Remembrall,]","[]"
"Platform122466","Platform Nine","Location","Platform Nine was one of the Muggle railway platforms at King's Cross Station.","one","UNKNOWN","http://harrypotter.wikia.com/Platform Nine","[nine,]","[]"
"Nicolas677","Nicolas Flamel","Individual","Nicolas Flamel (before 1327 – between 1992 and 1996) was a well-known alchemist and only known maker of the Philosopher's Stone, a legendary substance with incredible powers.","alchemist","MALE","http://harrypotter.wikia.com/Nicolas Flamel","[Nicolas Flamel,]","[]"
"Vincent547","Vincent Crabbe","Individual","Vincent Crabbe (1979/1980 – 2 May 1998) was a pure-bloodDark Wizard, and the son of Death Eater Crabbe Snr.","pure-blooddark","MALE","http://harrypotter.wikia.com/Vincent Crabbe","[Crabbe,Vincent Crabbe,]","[]"
"Cornelius576","Cornelius Oswald Fudge","Individual","Minister Cornelius Oswald Fudge, O.M. (First Class), was the Minister for Magic from 1990-1996.","minister","MALE","http://harrypotter.wikia.com/Cornelius Oswald Fudge","[Cornelius Fudge,]","[]"
"Gryffindor8","Gryffindor","House","Gryffindor is one of the four Houses of Hogwarts School of Witchcraft and Wizardry, founded by Godric Gryffindor.","one","UNKNOWN","http://harrypotter.wikia.com/Gryffindor","[Gryffindor,]","[]"
"Broomstick669","Broomstick","Object","Broomsticks, also known as brooms, are one of the means employed by wizards and witches to transport themselves between locations.","one","UNKNOWN","http://harrypotter.wikia.com/Broomstick","[Broomstick,]","[]"
"Chocolate2368","Chocolate Frogs","Food and Beverage","Chocolate Frogs are a popular confection that are sold throughout the wizarding world.","confection","UNKNOWN","http://harrypotter.wikia.com/Chocolate Frogs","[Chocolate Frog,]","[]"
"Ronald14","Ronald Bilius Weasley","Individual","Ronald Bilius "Ron" Weasley (b. 1 March, 1980) was a pure-pure-blood wizard, the sixth and youngest son of Arthur and Molly Weasley (née Prewett).","wizard","MALE","http://harrypotter.wikia.com/Ronald Bilius Weasley","[Ron,Ronald Weasley,]","[]"
"Hufflepuff11","Hufflepuff","House","Hufflepuff is one of the four Houses of Hogwarts School of Witchcraft and Wizardry.","one","UNKNOWN","http://harrypotter.wikia.com/Hufflepuff","[Hufflepuff,]","[]"
"Cannon30830","Cannon","Object","A cannon is a piece of artillery typically used as a weapon, although they are also commonly used for ceremonial purposes.","piece","UNKNOWN","http://harrypotter.wikia.com/Cannon","[cannon,]","[]"
"Fat646","The Fat Lady","Individual","The Fat Lady was a portrait, who guarded the entrance to Gryffindor Tower at Hogwarts Castle.","portrait","FEMALE","http://harrypotter.wikia.com/The Fat Lady","[Fat Lady,]","[]"
"Harry13","Harry James Potter","Individual","Harry James Potter (b. 31 July 1980) is a half-pure-blood wizard, and one of the most famous wizards of modern times.","wizard","MALE","http://harrypotter.wikia.com/Harry James Potter","[Boy Who Lived,Harry,Harry Potter,]","[]"
"Neville19","Neville Longbottom","Individual","Professor Neville Longbottom (b. 30 July, 1980) was a pure-pure-blood wizard, and one of the most famous wizards of modern times.","wizard","MALE","http://harrypotter.wikia.com/Neville Longbottom","[Neville Longbottom,]","[]"
"Tom14733","Tom Riddle's wand","Wand","Tom Riddle's wand was 13½" long and belonged to Tom Riddle, the wizard who later became known as Lord Voldemort.","1/2","UNKNOWN","http://harrypotter.wikia.com/Tom Riddle's wand","[wand,]","[]"
"Hedwig446","Hedwig","Pet individual","Hedwig (d. 27 July, 1997) was Harry Potter's pet Snowy Owl (Bubo scandiacus).","-rrb-","FEMALE","http://harrypotter.wikia.com/Hedwig","[Hedwig,]","[]"
"Albus4178","Albus Percival Wulfric Brian Dumbledore","Individual","Professor Albus Percival Wulfric Brian Dumbledore, , , , ,  (c. Summer1881 – 30 June, 1997) was the Transfiguration Professor, and later Headmaster of Hogwarts School of Witchcraft and Wizardry.","professor","MALE","http://harrypotter.wikia.com/Albus Percival Wulfric Brian Dumbledore","[Albus Dumbledore,Dumbledore,]","[]"
"Dark8838","Dark Wizard","Organisation","A Dark Wizard or Witch is any magical person who primarily studies and/or practises the Dark Arts, otherwise known as Dark Magic.","person","UNKNOWN","http://harrypotter.wikia.com/Dark Wizard","[Dark Wizard,]","[]"
"Godrics499","Godric's Hollow","Location","Godric's Hollow is a village in the West Country of England.","village","UNKNOWN","http://harrypotter.wikia.com/Godric's Hollow","[Godric's Hollow,]","[]"
"Devils2544","Devil's Snare","Plant","Devil's Snare is a plant with the magical ability to constrict or strangle anything in its surrounding environment or something that happens to touch it.","plant","UNKNOWN","http://harrypotter.wikia.com/Devil's Snare","[Devil's Snare,]","[]"
"Rom8325","Rom","Location","Romania (Romanian: România) is a country located in southeastern Europe.","country","UNKNOWN","http://harrypotter.wikia.com/Rom","[Romania,]","[]"
"Wizardkind3052","Wizardkind","Creature","Wizardkind are humans that are born with the ability to perform magic.","humans","UNKNOWN","http://harrypotter.wikia.com/Wizardkind","[Wizards,witch,wizard,]","[]"
"Deluminator3428","Deluminator","Object","The Deluminator, also known as the Put-Outer, is a device used by Albus Dumbledore (the first known owner and designer of the one Deluminator known to exist) to remove light sources from the Deluminator's immediate surroundings, as well as bestow them.","device","UNKNOWN","http://harrypotter.wikia.com/Deluminator","[Deluminator,]","[]"
"Zombie3741","Zombie","Creature","Zombies are "living dead" creatures that dwell in the southern part of the United States of America.","creature","UNKNOWN","http://harrypotter.wikia.com/Zombie","[troublesome zombie,]","[]"
"Hospital7701","Hospital Wing","Location","The Hospital Wing is a part of Hogwarts School of Witchcraft and Wizardry.","part","UNKNOWN","http://harrypotter.wikia.com/Hospital Wing","[hospital,]","[]"
"Petunia437","Petunia Dursley","Individual","Petunia Dursley (née Evans) (c. 1960 – c. 2020) was a Muggle, the elder daughter of Mr. and Mrs Evans and the sister of the Muggle-born witch Lily.","muggle","FEMALE","http://harrypotter.wikia.com/Petunia Dursley","[Petunia,Aunt Petunia,Petunia Dursley,]","[]"
"Hogwarts11345","Hogwarts uniform","Object","The Hogwarts uniform is the clothing that students attending Hogwarts School of Witchcraft and Wizardry are required to wear.","clothing","UNKNOWN","http://harrypotter.wikia.com/Hogwarts uniform","[pointed hat,]","[]"
"Doris7230","Doris Crockford","Individual","Doris Crockford was a witch who greeted Harry Potter in the Leaky Cauldron on the way to Harry's first trip into Diagon Alley on 31 July 1991.","witch","FEMALE","http://harrypotter.wikia.com/Doris Crockford","[Doris Crockford,]","[]"
"Prefect572","Prefect","Organisation","A prefect at Hogwarts School of Witchcraft and Wizardry is a student who has been given extra authority and responsibilities by the Head of House and Headmaster.","student","UNKNOWN","http://harrypotter.wikia.com/Prefect","[prefect,]","[]"
"Slytherin9","Slytherin","House","Slytherin is one of the four Houses at Hogwarts School of Witchcraft and Wizardry, founded by Salazar Slytherin.","one","UNKNOWN","http://harrypotter.wikia.com/Slytherin","[Slytherin,]","[]"
"Minister362","Minister for Magic","Official post","The Minister for Magic is the leader of the wizarding community in the United Kingdom and Ireland and the highest ranking member of the Ministry of Magic, which they control.","leader","UNKNOWN","http://harrypotter.wikia.com/Minister for Magic","[Minister,]","[]"
"Garrick3857","Garrick Ollivander","Individual","Garrick Ollivander (b. 25 September, in or prior to 1907) was the proprietor of Ollivanders in Diagon Alley during most of the 20th century.","proprietor","MALE","http://harrypotter.wikia.com/Garrick Ollivander","[Mr Ollivander,]","[]"
